"GeneID","Control_1","Control_2","Control_3","Riesgo_nut_1","Riesgo_nut_2","Riesgo_nut_3"
431704,0,0,0,0,0,0
105371265,0,0,0,0,0,0
101928595,82,69,60,148,282,147
9978,877,1066,147,1175,721,1153
92342,186,366,38,172,137,170
101928832,0,0,0,0,0,1
84103,0,0,0,0,0,0
100529207,290,463,324,412,238,355
22828,242,565,450,377,275,359
55253,162,313,251,243,151,306
79789,179,180,213,582,256,349
11176,220,532,1445,501,519,611
105377651,1,0,0,2,6,1
105376781,11,9,106,13,15,13
220,1,2,1,1,2,1
100189179,0,0,0,0,0,0
101928570,1,0,0,0,0,0
105369914,7,4,0,8,3,0
407017,0,0,2,0,0,0
6019,16,31,11,14,16,15
100129781,0,4,1,0,0,1
105371031,0,0,0,0,0,0
9636,4894,1204,1960,574,966,575
101927000,0,0,1,0,0,0
100113381,8,13,8,3,3,2
56906,2,0,0,1,1,5
10111,476,982,297,672,666,794
8899,1406,2563,681,1169,800,824
2066,0,0,0,0,0,0
115704,33,72,326,28,41,116
55343,58,112,448,87,77,235
102723576,0,0,0,0,0,0
105376422,0,0,0,2,0,0
105377255,0,0,0,0,0,0
4792,455,802,751,649,548,710
105378522,0,0,0,0,0,0
5689,877,1611,939,1852,1220,1569
101927431,0,0,0,0,0,0
105370958,0,0,0,0,0,0
51109,374,708,381,741,496,984
101928154,0,0,0,2,0,0
105375334,0,1,0,0,1,0
200539,10,41,62,15,16,24
100192426,0,0,0,0,0,0
105375547,23,12,8,45,20,34
283521,39,62,74,36,68,43
56995,123,336,138,140,118,198
105379712,0,0,0,0,0,0
101929538,3,2,7,18,4,40
105369919,0,0,0,0,0,0
574491,0,0,0,0,0,0
221935,1,10,14,10,2,9
10247,86,138,21,89,47,72
107986482,7,2,0,42,21,2
55011,265,674,1168,353,359,820
8237,62,230,927,52,91,348
442911,0,0,0,0,0,0
2669,0,0,2,0,0,1
81871,0,0,0,0,0,0
105372935,24,4,3,2,6,5
253738,3,3,5,4,1,4
400566,10,3,46,21,3,35
105373043,2,7,2,2,4,4
284454,171,207,491,202,203,190
105376197,0,0,0,0,0,0
105379119,0,0,0,0,0,0
392197,0,0,0,0,0,0
102465841,0,0,9,1,0,1
9358,1,0,0,0,0,0
107987299,7,13,25,11,9,20
105370790,0,0,0,0,0,1
285016,2,7,1,0,0,0
100289410,9,12,11,5,2,7
101927325,3,7,22,6,5,9
100132813,0,1,0,0,0,0
280655,2,3,2,4,4,4
105379550,0,0,0,0,0,0
5241,0,0,0,0,0,0
30827,246,581,1665,314,427,886
26869,0,0,0,0,1,0
167359,1,1,3,0,0,6
9501,8,7,76,26,9,19
952,436,986,768,276,467,593
101410536,0,0,0,0,0,0
283483,0,0,0,0,0,0
107986780,0,0,0,0,0,0
10752,4,7,1,3,5,4
100500913,0,0,0,0,1,0
101928216,0,0,0,0,0,1
